# {
#     "poni_version": 2.1,
#     "detector": "Pilatus1M",
#     "detector_config": {
#         "orientation": 3
#     },
#     "dist": 0.1,
#     "poni1": 0.1,
#     "poni2": 0.1,
#     "rot1": 0.0,
#     "rot2": 0.0,
#     "rot3": 0.0,
#     "wavelength": 1e-10
# }
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lololo.dat
#       2th_deg             I 
  3.749392e+01    2.187826e-19
  3.760339e+01    1.217819e-17
  3.771286e+01    5.537065e-16
  3.782233e+01    2.107229e-14
  3.793180e+01    6.452108e-13
  3.804127e+01    1.628729e-11
  3.815074e+01    3.354274e-10
  3.826022e+01    5.705815e-09
  3.836969e+01    7.980543e-08
  3.847916e+01    9.088458e-07
  3.858863e+01    8.585896e-06
  3.869810e+01    6.613717e-05
  3.880757e+01    4.195081e-04
  3.891704e+01    2.184050e-03
  3.902651e+01    9.352120e-03
  3.913599e+01    3.279951e-02
  3.924546e+01    9.450619e-02
  3.935493e+01    2.238329e-01
  3.946440e+01    4.351783e-01
  3.957387e+01    6.955314e-01
  3.968334e+01    9.130077e-01
  3.979281e+01    9.843584e-01
  3.990228e+01    8.718550e-01
  4.001176e+01    6.343726e-01
  4.012123e+01    3.792268e-01
  4.023070e+01    1.860889e-01
  4.034017e+01    7.501886e-02
  4.044964e+01    2.484267e-02
  4.055911e+01    6.748637e-03
  4.066858e+01    1.504923e-03
  4.077806e+01    2.758312e-04
  4.088753e+01    4.153464e-05
  4.099700e+01    5.882310e-06
  4.110647e+01    7.865209e-06
  4.121594e+01    5.769827e-05
  4.132541e+01    3.705743e-04
  4.143488e+01    1.957780e-03
  4.154435e+01    8.492255e-03
  4.165383e+01    3.024983e-02
  4.176330e+01    8.843703e-02
  4.187277e+01    2.123248e-01
  4.198224e+01    4.187379e-01
  4.209171e+01    6.782874e-01
  4.220118e+01    9.024218e-01
  4.231065e+01    9.859821e-01
  4.242012e+01    8.847940e-01
  4.252960e+01    6.521143e-01
  4.263907e+01    3.947061e-01
  4.274854e+01    1.961215e-01
  4.285801e+01    8.001490e-02
  4.296748e+01    2.679533e-02
  4.307695e+01    7.362749e-03
  4.318642e+01    1.661746e-03
  4.329589e+01    3.078735e-04
  4.340537e+01    4.757414e-05
  4.351484e+01    1.312750e-05
  4.362431e+01    5.772703e-05
  4.373378e+01    3.679086e-04
  4.384325e+01    1.945619e-03
  4.395272e+01    8.452849e-03
  4.406219e+01    3.014854e-02
  4.417167e+01    8.828586e-02
  4.428114e+01    2.121992e-01
  4.439061e+01    4.187048e-01
  4.450008e+01    6.784581e-01
  4.460955e+01    9.029405e-01
  4.471902e+01    9.865655e-01
  4.482849e+01    8.850875e-01
  4.493796e+01    6.520591e-01
  4.504744e+01    3.968593e-01
  4.515691e+01    1.966837e-01
  4.526638e+01    8.021656e-02
  4.537585e+01    2.684554e-02
  4.548532e+01    7.386278e-03
  4.559479e+01    1.665967e-03
  4.570426e+01    3.089089e-04
  4.581373e+01    5.266986e-05
  4.592321e+01    5.199741e-05
  4.603268e+01    3.050349e-04
  4.614215e+01    1.647613e-03
  4.625162e+01    7.305480e-03
  4.636109e+01    2.658921e-02
  4.647056e+01    7.953297e-02
  4.658003e+01    1.952492e-01
  4.668950e+01    3.934593e-01
  4.679898e+01    6.510651e-01
  4.690845e+01    8.844975e-01
  4.701792e+01    9.866109e-01
  4.712739e+01    9.036575e-01
  4.723686e+01    6.796234e-01
  4.734633e+01    4.195335e-01
  4.745580e+01    2.125372e-01
  4.756528e+01    8.843315e-02
  4.767475e+01    3.018360e-02
  4.778422e+01    8.476402e-03
  4.789369e+01    1.946813e-03
  4.800316e+01    3.707380e-04
  4.811263e+01    8.024292e-05
  4.822210e+01    1.711368e-04
  4.833157e+01    9.491285e-04
  4.844105e+01    4.501841e-03
  4.855052e+01    1.753391e-02
  4.865999e+01    5.608999e-02
  4.876946e+01    1.472008e-01
  4.887893e+01    3.172950e-01
  4.898840e+01    5.613546e-01
  4.909787e+01    8.153376e-01
  4.920734e+01    9.723943e-01
  4.931682e+01    9.519807e-01
  4.942629e+01    7.652898e-01
  4.953576e+01    5.049609e-01
  4.964523e+01    2.734725e-01
  4.975470e+01    1.216386e-01
  4.986417e+01    4.434003e-02
  4.997364e+01    1.327217e-02
  5.008311e+01    3.259590e-03
  5.019259e+01    6.632486e-04
  5.030206e+01    1.532460e-04
  5.041153e+01    3.070653e-04
  5.052100e+01    1.591867e-03
  5.063047e+01    7.095812e-03
  5.073994e+01    2.596720e-02
  5.084941e+01    7.799149e-02
  5.095889e+01    1.923053e-01
  5.106836e+01    3.891818e-01
  5.117783e+01    6.465628e-01
  5.128730e+01    8.818108e-01
  5.139677e+01    9.872202e-01
  5.150624e+01    9.072545e-01
  5.161571e+01    6.844444e-01
  5.172518e+01    4.238659e-01
  5.183466e+01    2.155033e-01
  5.194413e+01    8.974533e-02
  5.205360e+01    3.067594e-02
  5.216307e+01    8.618340e-03
  5.227254e+01    1.989315e-03
  5.238201e+01    4.100494e-04
  5.249148e+01    2.996178e-04
  5.260095e+01    1.348673e-03
  5.271043e+01    6.094829e-03
  5.281990e+01    2.283327e-02
  5.292937e+01    7.007802e-02
  5.303884e+01    1.761225e-01
  5.314831e+01    3.646948e-01
  5.325778e+01    6.185129e-01
  5.336725e+01    8.611116e-01
  5.347672e+01    9.849058e-01
  5.358620e+01    9.247126e-01
  5.369567e+01    7.120551e-01
  5.380514e+01    4.512617e-01
  5.391461e+01    2.338147e-01
  5.402408e+01    1.002883e-01
  5.413355e+01    3.490691e-02
  5.424302e+01    1.015030e-02
  5.435250e+01    2.412886e-03
  5.446197e+01    4.679324e-04
  5.457144e+01    7.951431e-05
  5.468091e+01    1.272394e-05
